t,r_t
795,3.6458558160716588
796,3.6660857272877
797,3.638640935559361
798,3.6278657375187193
799,3.6558107305647094
800,3.591336723207489
801,3.62820002745027
802,3.581846665511232
803,3.5668668894983986
804,3.6251987969465267
805,3.6351226788000033
806,3.6601740467454564
807,3.6891795140909105
808,3.624129843022463
809,3.633005567663105
810,3.6473348019529457
811,3.6630172578203233
812,3.6577124738021403
813,3.612541758824603
814,3.608111244986101
815,3.617913730401074
816,3.6206909625967936
817,3.5940552471433196
818,3.5948935660492007
819,3.639363140675938
820,3.6065884740310175
821,3.6298859708224613
822,3.6345586747818244
823,3.604954561684494
824,3.659586643850268
825,3.65221333135829
826,3.626754982291983
827,3.6311565853401095
828,3.615857988478077
829,3.785591601673801
830,3.628006402383961
831,3.61232559047273
832,3.6019281393764713
833,3.6132349557518744
834,3.600216423920857
835,3.583730116088773
836,3.632191110893051
837,3.598230893280218
838,3.596042741193587
839,3.5615546114203234
840,3.6121572781229982
841,3.5975616428951884
842,3.558073322508025
843,3.592335965301606
844,3.538922739802141
845,3.5144943597754064
846,3.586451195348664
847,3.618006976288773
848,3.6032470133433163
849,3.5922591547786102
850,3.613506871910164
851,3.618965040590377
852,3.6799781111721965
853,3.6711566725390403
854,3.6304767914064207
855,3.601593523089842
856,3.5942326725582916
857,3.593139153371126
858,3.564164885201074
859,3.5736894840930513
860,3.559092851458827
861,3.5819103485058843
862,3.5295850068032104
863,3.5747357672695226
864,3.5715072372663124
865,3.6180205180213942
866,3.5891453939925153
867,3.6414727988812867
868,3.5693956814545476
869,3.63392077809519
870,3.679599718024602
871,3.601926884191448
872,3.649893333749734
873,3.643428505547597
874,3.63341638011765
875,3.6322485124695225
876,3.6715323053304854
877,3.6834337691262053
878,3.576476989427808
879,3.6619260957711277
880,3.6149613131647076
881,3.6202197183304845
882,3.6132752447390417
883,3.6030060674930517
884,3.5898172868139087
885,3.589219882715512
886,3.5612107969764746
887,3.6013433367454577
888,3.569514108805351
889,3.558145244734762
890,3.4351602014962603
891,3.3809095468438533
892,3.4152601276213934
893,3.416628138924069
894,3.4187969928395754
895,3.368902265005351
896,3.3596130678224623
897,3.3329587097336937
898,3.3823622426160442
899,3.3832872145283464
900,3.4051455074866355
901,3.42297617558503
902,3.4129041190085605
903,3.386421346370055
904,3.3888715432096284
905,3.3507379596513425
906,3.2953950292524117
907,3.303549437136898
908,3.276317185413905
909,3.2847004737582908
910,3.281734236510162
911,3.2735221862385027
912,3.2325288306844917
913,3.295127409217113
914,3.2686333832032086
915,3.245486066367914
916,3.2538045311582917
917,3.2667749553796823
918,3.3435113646962598
919,3.320877726177543
920,3.3415805043155107
921,3.333553703281284
922,3.430879065377545
923,3.4335352437144424
924,3.4489487949561513
925,3.4748931266310183
926,3.4794773850395737
927,3.5114334663561513
928,3.4867507090417122
929,3.4932568325433193
930,3.5395133177123017
931,3.5307593707144393
932,3.5190985766812863
933,3.541450681050269
934,3.5310239027251367
935,3.5351327584481314
936,3.509359662264177
937,3.47806277531551
938,3.471289846683423
939,3.4941791830909112
940,3.488700642665245
941,3.495800115545458
942,3.5029239883893046
943,3.538418827157222
944,3.544330971459897
945,3.5357742227764746
946,3.5186319366716585
947,3.5203529912139055
948,3.514235585800005
949,3.501534859659893
950,3.4800581335262057
951,3.4873832250363677
952,3.4609756819262065
953,3.473752532078077
954,3.441437339204282
955,3.4473010907636397
956,3.4254382960117686
957,3.4297538033069555
958,3.4506486447219284
959,3.4577563093775456
960,3.476211766747595
961,3.4627505732021424
962,3.5314505913978644
963,3.555084242818185
964,3.5819566467208563
965,3.5889977743155095
966,3.6168512249401066
967,3.5964482768556145
968,3.6154077010631056
969,3.658943772253478
970,3.6750652282951886
971,3.675640881921928
972,3.632413760249201
973,3.627330507468448
974,3.613258023057757
975,3.6131945895080215
976,3.606447691540106
977,3.615152284115513
978,3.6098572674042804
979,3.6292902019155098
980,3.6445538413657776
981,3.642724962393584
982,3.661261162885564
983,3.6247744253369003
984,3.628446538278078
985,3.6109637752203216
986,3.6003111689764697
987,3.598314205262033
988,3.5963884488887725
989,3.5579239890930503
990,3.5941223837369005
991,3.594958969330484
992,3.6147990297989274
993,3.6513399511133704
994,3.6383794786064194
995,3.6690826781540102
996,3.6744243274267423
997,3.673167323617115
998,3.7118373433529444
999,3.7263673592919804
1000,3.771527417028877
1001,3.766426213618186
1002,3.7774309086534776
1003,3.7845506048492017
1004,3.7748834942331584
