t,z1,z2,z3
457,-0.51622975,0.04665903,1.1685178
458,-0.6473386,0.13555586,1.2670953
459,-0.47066402,-0.056795172,1.1791412
460,-0.2627734,-0.33169258,0.9714928
461,-0.0364489,-0.6300821,0.6515658
462,0.44449583,-1.0257205,0.5436906
463,0.79340744,-1.2620898,0.7543576
464,1.3848544,-1.9109459,0.8220814
465,2.1190372,-2.6259472,1.0297446
466,1.8277355,-2.4176025,0.82775855
467,1.9318478,-2.4774058,0.9711016
468,1.9994447,-2.5450804,0.99988323
469,1.7528597,-2.3993428,1.0946468
470,1.8402576,-2.5849142,0.96111953
471,1.915478,-2.6852362,1.0110601
472,2.031571,-2.822891,0.9968093
473,1.4707317,-2.2734258,0.73903024
474,1.3313371,-1.9685464,0.58008397
475,1.0660983,-1.5238578,0.41950265
476,1.2047974,-1.7196758,0.3845177
477,0.9565224,-1.5065618,0.42755
478,0.57289827,-1.2902844,0.4487377
479,0.26418078,-0.9919229,0.32057077
480,0.24499723,-0.953577,0.34350196
481,0.19685103,-0.88378346,0.41155246
482,0.48907894,-1.0309867,0.43435302
483,0.5561248,-0.9817975,0.26566017
484,1.0637627,-1.5114185,0.33591577
485,1.059112,-1.4416367,0.45989585
486,1.1137347,-1.5526209,0.4980344
487,1.1081969,-1.6000378,0.5420322
488,1.0703132,-1.5728147,0.57918644
489,0.44096717,-1.139088,0.259608
490,0.41245937,-1.2228193,0.0085980445
491,-0.60685134,-0.68208456,-0.14269982
492,-0.5763299,-0.63577724,-0.07184757
493,-0.42142898,-0.7487111,-0.1063112
494,0.42163655,-1.1755141,0.16017395
495,0.87548,-1.4136391,0.044095244
496,0.9199118,-1.3986208,0.073622495
497,0.36408123,-0.9672808,0.032190684
498,0.40208927,-0.9746004,0.06235495
499,0.83322656,-1.3040501,0.045521643
500,0.66189635,-1.1968613,-0.0036528464
501,0.23416528,-0.8803335,-0.06717112
502,0.6345713,-1.1838769,-0.006143596
503,-0.32652888,-0.6709649,-0.2988932
504,-0.5241553,-0.59595704,-0.2895058
505,-0.6721737,-0.5502733,-0.27263722
506,-0.46021163,-0.61398214,-0.24836834
507,-0.49834758,-0.7438673,-0.17656776
508,-0.55890787,-0.54620415,-0.1318968
509,0.09399798,-0.84189343,-0.06788905
510,-0.17481992,-0.6266029,-0.0287523
511,-0.33903116,-0.2521352,0.12174091
512,-0.0069353394,-0.512725,0.042848434
513,0.45545354,-0.8563893,0.15591687
514,0.4656546,-0.9199383,0.32867855
515,0.55427027,-0.96546715,0.31444284
516,0.72546554,-1.1154879,0.35648724
517,0.45250016,-1.055333,0.32895914
518,0.15758005,-0.94168645,0.20848306
519,0.28653288,-1.1945788,0.2932345
520,0.22253856,-1.1638656,0.10032368
521,-0.031015292,-1.1633459,0.15145783
522,-0.32727045,-0.9181636,-0.10307692
523,-0.5862651,-0.66547596,-0.10492647
524,-0.39180586,-0.76227874,-0.19677475
525,-0.24680427,-0.8777786,-0.21978796
526,0.1118236,-0.90231985,-0.07042129
527,0.72241956,-1.2184635,0.14643094
528,0.8781299,-1.352902,0.21354987
529,1.0700362,-1.5627296,0.3517337
530,1.0377908,-1.5129993,0.45273006
531,0.68659115,-1.2184792,0.295622
532,-0.30183375,-0.5420301,-0.023668813
533,-0.17737381,-0.80396056,-0.110063806
534,-0.303003,-0.78614646,-0.104815096
535,-0.3175763,-0.53886443,-0.15344119
536,-0.44913733,-0.46754453,-0.07274699
537,-0.16960162,-0.39685217,0.018119209
538,0.31575534,-0.6749714,0.24559933
539,0.35040322,-0.6545128,0.25627095
540,-0.08084835,-0.39031658,0.2245878
541,-0.38522235,-0.17741263,0.32502756
542,-0.60676146,-0.0068859607,0.5148345
543,-0.31751236,-0.3040747,0.2890353
544,-0.49507266,-0.066601105,0.49833378
545,-0.8113665,0.21333337,0.8070743
546,-0.68332946,0.1980978,0.72721684
547,-0.7116628,0.16688147,0.69511807
548,-0.96387714,0.51620644,0.9577329
549,-0.820042,0.44229522,0.7439434
550,-1.2050873,0.7159005,1.0546287
551,-1.6157502,0.8437308,1.3183526
552,-1.7087939,0.9549766,1.2651899
553,-1.5737232,0.89131093,1.0952436
554,-1.5647166,0.92811185,1.250706
555,-1.7160897,1.0332589,1.4636762
556,-1.8944505,1.1002209,1.5193955
557,-2.156746,1.1708733,1.6241232
558,-1.9735236,1.1043712,1.4625459
559,-1.842633,0.9127566,1.1231424
560,-1.9667163,0.9927848,1.2750756
561,-2.1881986,1.1209025,1.4695685
562,-2.212658,1.2754862,1.6038426
563,-2.1749187,1.2308435,1.4587276
564,-2.2369857,1.2669764,1.4477842
565,-2.1125398,1.2409985,1.4594052
566,-1.7536173,1.0408199,1.1714267
567,-2.2553563,1.3811783,1.7530475
568,-2.2053943,1.3390777,1.6745806
569,-1.859819,1.1337811,1.4266781
570,-1.5800486,0.9816747,1.2490164
571,-1.7701968,1.0331542,1.4033637
572,-1.9892129,1.1306497,1.615517
573,-2.0635638,1.2140514,1.7222527
574,-2.234984,1.2787246,1.8484674
575,-1.8030446,1.0549731,1.5310911
576,-1.8578784,1.040454,1.5690866
577,-1.7435403,0.9543522,1.4857262
