t,a3,a2,a1,a0
400,-9.633530634154776e-06,-0.0001237673367979359,-0.03774459606600741,5.194714153179777
401,0.00011014190733553798,-0.005279833771038567,0.024227640843337353,5.103800818241232
402,0.00013851719469554566,-0.006469253318619659,0.03763835160312188,5.053813041851511
403,9.731351974229404e-05,-0.004742555443086463,0.018658754155905233,5.074229396985617
404,6.345404930408242e-05,-0.003246188002807321,-0.0013443901629111932,5.1180008637594625
405,3.4620642313233035e-05,-0.0018986254894007234,-0.019294053122142985,5.08443467752899
406,5.438068826655954e-05,-0.0032331386684332445,-0.0006333155814424173,4.981716723771549
407,-1.3304108466939024e-05,0.00019245489621432196,-0.04767786949889885,5.15343924610797
408,8.46787821569191e-05,-0.0044893937859745,0.013055890978043416,4.9601991317484915
409,2.5620818548760123e-05,-0.0014215094986611309,-0.027935181363532256,5.11782918835666
410,1.3419052206224837e-05,-0.0009046453051625126,-0.033809725485417774,5.113607699472602
411,-7.040292387653086e-05,0.0027596611965894358,-0.08160275260779187,5.23892945507674
412,2.551757653272458e-05,-0.0022176789935687185,-0.010041046333279518,4.908767221799448
413,-2.5164062241857056e-05,0.00029364368082026356,-0.04477507324791793,5.06130404904939
414,-7.418035531936911e-05,0.002720969387111466,-0.07688937706916102,5.183604230116812
415,-4.104516958695802e-05,0.0011478390465325572,-0.05699205317720111,5.1345761647894035
416,1.6297815597534466e-05,-0.0015297049170492085,-0.02423040813751653,5.0252964795071575
417,9.517286509203696e-05,-0.005265749358607153,0.024592425597801525,4.874450674114424
418,6.358819402679347e-05,-0.004032616366441522,0.013943256669425946,4.838668704780565
419,5.6563362720040425e-05,-0.003627485106117993,0.007014047122866703,4.878969434729253
420,7.160644455344438e-05,-0.004431992896129974,0.02056083854345867,4.826286160313235
421,0.00011447608460634525,-0.006274919292185454,0.04249042279738542,4.808616218727579
422,0.00013224465110383193,-0.007010564355591128,0.05216167834788852,4.789928097271984
423,0.0001627904730167008,-0.007515037364406884,0.048150455370614555,4.971888524047429
424,0.00019867953630465729,-0.00912286268904634,0.07062803159370759,4.925459911031588
425,0.00022154313458310385,-0.010126385048172575,0.08268595000811889,4.870536551323856
426,0.00022304477058512312,-0.010186166648496019,0.08223482168070834,4.822563076483332
427,0.00021352186423411864,-0.009853887960488552,0.07996282113464544,4.831733947959216
428,0.00024107596851001532,-0.011277419164238647,0.10438049433564994,4.705689283563256
429,0.0003563104251609079,-0.01658797385146999,0.18237183626762152,4.444063901216529
430,0.00030642041059518986,-0.014475321505731444,0.15986117550258194,4.536979156948506
431,0.00021462569845323714,-0.011006809611585129,0.13238715788932956,4.522678286738403
432,0.000230832370523139,-0.011711112740081875,0.14094032769086973,4.532062798098528
433,0.00014553523473312318,-0.008305571348426268,0.10734318121674295,4.6286778091533565
434,0.00017365708276205496,-0.009608669325397936,0.12570477479793585,4.595717164410421
435,0.0001776445925642768,-0.009719485860055443,0.12515720404995775,4.615603936824203
436,0.00025484660407484996,-0.012909669463732443,0.15996565868407409,4.521170333317737
437,0.0002847011431103026,-0.014133097543267014,0.172747402574147,4.523881506530865
438,0.0002495998663677033,-0.012818455767894813,0.1625976052850317,4.538115478369063
439,0.00022382929614206474,-0.01139102099808342,0.13630222457164734,4.576244321873968
440,0.00022613670332340507,-0.011327076949663827,0.13083035707856328,4.585729424898913
441,0.00024042264142176028,-0.011737266056265195,0.1296233035873841,4.624030808798479
442,0.00021144538574895155,-0.010606016912937177,0.11927958772217889,4.651937349810288
443,0.00015334240805123285,-0.008710067946516457,0.11436420286710978,4.590166239663078
444,0.00014968530973947125,-0.008608615731871725,0.11513953097123919,4.5252201336673
445,0.00015053420475529924,-0.00877732649921162,0.12108846719797212,4.4989403372190635
446,0.00013636656471134365,-0.008131340163979718,0.11222263276669439,4.520415441763942
447,9.700745994252046e-05,-0.0060366306505894845,0.07533906395725472,4.589045515546395
448,7.988978914116828e-05,-0.0052789580972859166,0.0651893547776057,4.685634187696671
449,7.665869113564261e-05,-0.004986285404978831,0.057073051688082375,4.7256612563610325
450,9.277248366737586e-05,-0.005337282379296054,0.050960316134047605,4.809927757564085
451,8.958402194611763e-05,-0.0051997529560311095,0.049373393613816235,4.800922851136166
452,0.00010063685076053815,-0.005603504626394114,0.05009803668984959,4.74346154619562
453,7.921531895531797e-05,-0.004677505179348311,0.038159048465769244,4.768871125544608
454,0.00018593880370389602,-0.009283588173262825,0.09389838205685343,4.6298581248001005
455,0.0001513890193279065,-0.00786007619940354,0.07961938470274847,4.652551568957169
456,0.00016727536762458592,-0.008617948755254345,0.09157162135009196,4.606550424763669
457,0.00019941283783772993,-0.010078909925565533,0.11193369303474086,4.537936852594398
458,0.00020943458414004332,-0.010465074968350118,0.11598984054397635,4.550384307541081
459,0.00018351781768501793,-0.009550642360686503,0.1095808458220079,4.486882701075001
460,0.0002477464930645514,-0.012444440130651078,0.1445986558887737,4.358140880199435
461,0.00031494394217062763,-0.015291684232883023,0.17358044239091974,4.293722470820802
462,0.00028970543235008755,-0.014347655509696345,0.15913026795072865,4.291019258068367
463,0.0002887745993900364,-0.014467607182895352,0.16725569369728602,4.169429614977219
464,0.00021134079210264746,-0.011270065767840365,0.12959084048213979,4.210959864301452
465,0.00017581103240514302,-0.010097675904415782,0.11761106218218081,4.15438560491612
466,0.00021142586348290673,-0.011650926442341112,0.13339966531399458,4.1814205150383055
467,0.0002091874030891862,-0.011614312027610442,0.13690687482963845,4.11006915857102
468,0.00020539835791086935,-0.011455208974111267,0.13522427795062478,4.107473188481431
469,0.00025757114136622613,-0.013814438836668797,0.17040996070013614,3.957412032647188
470,0.00027765577002090053,-0.014840682856798893,0.180290283625483,3.96275779979985
471,0.00028686625738998697,-0.015333862346529784,0.18805717343154968,3.9143069562063375
472,0.0002914108479687704,-0.015629909993466848,0.19153612535907644,3.898058455308285
473,0.000273360283029008,-0.014395241623124385,0.16954391889763745,4.0911108626439425
474,0.00021967092136956004,-0.011739689385612614,0.13004770643277017,4.289456548666109
475,0.0001991385907327504,-0.010612567254007345,0.11049098849303453,4.430377316784626
476,0.00021151735100396536,-0.011249711880882276,0.11706599481750456,4.4226316786779325
477,0.00022695198925564255,-0.011856431070479744,0.12575814889499906,4.397214345429973
